CSDUID,CSDNAME,CSDTYPE,CMHC_CSDUID
3560027,Dryden,CY,35R5013
3560032,Ear Falls,TP,35R3061
3560034,Sioux Lookout,MU,35R3055
3560042,Red Lake,MU,35R3024
3560046,Slate Falls,S-É,3560046
3560049,Pickle Lake,TP,35R1055
3560050,Fort Albany (Part) 67,IRI,3560050
3560051,Attawapiskat 91A,IRI,3560051
3560052,Marten Falls 65,IRI,3560052
3560053,Fort Hope 64,IRI,3560053
3560054,Cat Lake 63C,IRI,3560054
3560055,Osnaburgh 63B,IRI,3560055
3560056,Lac Seul 28,IRI,3560056
3560057,Wabigoon Lake 27,IRI,3560057
3560058,English River 21,IRI,3560058
3560059,Weagamow Lake 87,IRI,3560059
3560060,Northwest Angle 33B,IRI,3560060
3560061,Wabaseemoong,IRI,3560061
3560063,Sabaskong Bay 35D,IRI,3560063
3560064,Shoal Lake 34B2,IRI,3560064
3560065,Lake Of The Woods 37,IRI,3560065
3560066,Kenora 38B,IRI,3560066
3560067,Poplar Hill,IRI,3560067
3560068,Shoal Lake (Part) 39A,IRI,3560068
3560069,Rat Portage 38A,IRI,3560069
3560070,Deer Lake,IRI,3560070
3560071,Sandy Lake 88,IRI,3560071
3560075,Kitchenuhmaykoosib Aaki 84 (Big Trout Lake),IRI,3560075
3560076,Sachigo Lake 1,IRI,3560076
3560077,Pikangikum 14,IRI,3560077
3560078,Fort Severn 89,IRI,3560078
3560079,Webequie,IRI,3560079
3560080,North Spirit Lake,IRI,3560080
3560081,Lansdowne House,S-É,3560081
3560082,Shoal Lake (Part) 40,IRI,3560082
3560083,Whitefish Bay 34A,IRI,3560083
3560084,Wabauskang 21,IRI,3560084
3560085,Wunnumin 1,IRI,3560085
3560086,Summer Beaver,S-É,3560086
3560088,Wapekeka 2,IRI,3560088
3560089,The Dalles 38C,IRI,3560089
3560090,"Kenora, Unorganized",NO,3560090
3560091,Peawanuck,S-É,3560091
3560093,Neskantaga,IRI,3560093
3560095,Bearskin Lake,IRI,3560095
3560096,Kasabonika Lake,IRI,3560096
3560097,Muskrat Dam Lake,IRI,3560097
3560098,Kingfisher Lake 1,IRI,3560098
3560100,Wawakapewin (Long Dog Lake),IRI,3560100
3560102,McDowell Lake,S-É,3560102
3560104,Kee-Way-Win,IRI,3560104
