CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5370026.02,3525005,Hamilton,0610,Hamilton,210,East End A,0026.02,06102100026.02
5370026.03,3525005,Hamilton,0610,Hamilton,210,East End A,0026.03,06102100026.03
5370026.04,3525005,Hamilton,0610,Hamilton,210,East End A,0026.04,06102100026.04
5370026.05,3525005,Hamilton,0610,Hamilton,210,East End A,0026.05,06102100026.05
5370026.06,3525005,Hamilton,0610,Hamilton,210,East End A,0026.06,06102100026.06
5370027.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0027.00,06101400027.00
5370028.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0028.00,06101400028.00
5370029.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0029.00,06101400029.00
5370030.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0030.00,06101400030.00
5370031.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0031.00,06101400031.00
5370032.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0032.00,06101400032.00
5370033.00,3525005,Hamilton,0610,Hamilton,280,Central C,0033.00,06102800033.00
5370034.00,3525005,Hamilton,0610,Hamilton,035,Downtown A,0034.00,06100350034.00
5370035.00,3525005,Hamilton,0610,Hamilton,035,Downtown A,0035.00,06100350035.00
5370036.00,3525005,Hamilton,0610,Hamilton,035,Downtown A,0036.00,06100350036.00
5370037.00,3525005,Hamilton,0610,Hamilton,070,Downtown B,0037.00,06100700037.00
5370038.00,3525005,Hamilton,0610,Hamilton,070,Downtown B,0038.00,06100700038.00
5370039.00,3525005,Hamilton,0610,Hamilton,070,Downtown B,0039.00,06100700039.00
5370040.00,3525005,Hamilton,0610,Hamilton,350,Central B,0040.00,06103500040.00
5370041.00,3525005,Hamilton,0610,Hamilton,350,Central B,0041.00,06103500041.00
5370042.00,3525005,Hamilton,0610,Hamilton,350,Central B,0042.00,06103500042.00
5370043.00,3525005,Hamilton,0610,Hamilton,385,West End A,0043.00,06103850043.00
5370044.00,3525005,Hamilton,0610,Hamilton,420,West End B,0044.00,06104200044.00
5370045.00,3525005,Hamilton,0610,Hamilton,385,West End A,0045.00,06103850045.00
5370046.00,3525005,Hamilton,0610,Hamilton,385,West End A,0046.00,06103850046.00
5370047.00,3525005,Hamilton,0610,Hamilton,350,Central B,0047.00,06103500047.00
5370048.00,3525005,Hamilton,0610,Hamilton,105,Downtown C,0048.00,06101050048.00
5370049.00,3525005,Hamilton,0610,Hamilton,105,Downtown C,0049.00,06101050049.00
5370050.00,3525005,Hamilton,0610,Hamilton,105,Downtown C,0050.00,06101050050.00
5370051.00,3525005,Hamilton,0610,Hamilton,280,Central C,0051.00,06102800051.00
5370052.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0052.00,06101750052.00
5370053.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0053.00,06101750053.00
5370054.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0054.00,06101750054.00
5370055.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0055.00,06101750055.00
5370056.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0056.00,06101750056.00
5370057.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0057.00,06101750057.00
5370058.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0058.00,06101750058.00
5370059.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0059.00,06101750059.00
5370060.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0060.00,06101750060.00
5370061.00,3525005,Hamilton,0610,Hamilton,315,Central A,0061.00,06103150061.00
5370062.00,3525005,Hamilton,0610,Hamilton,315,Central A,0062.00,06103150062.00
5370063.00,3525005,Hamilton,0610,Hamilton,315,Central A,0063.00,06103150063.00
5370064.00,3525005,Hamilton,0610,Hamilton,315,Central A,0064.00,06103150064.00
5370065.00,3525005,Hamilton,0610,Hamilton,350,Central B,0065.00,06103500065.00
5370066.00,3525005,Hamilton,0610,Hamilton,315,Central A,0066.00,06103150066.00
5370067.00,3525005,Hamilton,0610,Hamilton,315,Central A,0067.00,06103150067.00
5370068.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0068.00,06101750068.00
5370069.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0069.00,06101750069.00
5370070.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0070.00,06101750070.00
5370071.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0071.00,06101750071.00
5370072.01,3525005,Hamilton,0610,Hamilton,245,East End B,0072.01,06102450072.01
5370072.02,3525005,Hamilton,0610,Hamilton,245,East End B,0072.02,06102450072.02
5370072.03,3525005,Hamilton,0610,Hamilton,245,East End B,0072.03,06102450072.03
5370072.04,3525005,Hamilton,0610,Hamilton,245,East End B,0072.04,06102450072.04
5370073.00,3525005,Hamilton,0610,Hamilton,175,Central East B,0073.00,06101750073.00
5370080.01,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0080.01,06105950080.01
5370080.03,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0080.03,06105950080.03
5370080.05,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0080.05,06105950080.05
5370080.06,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0080.06,06105950080.06
5370080.07,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0080.07,06105950080.07
5370081.00,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0081.00,06105950081.00
5370082.00,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0082.00,06105950082.00
5370083.00,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0083.00,06105950083.00
5370084.01,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0084.01,06105950084.01
5370084.02,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0084.02,06105950084.02
5370084.03,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0084.03,06105950084.03
5370084.04,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0084.04,06105950084.04
5370084.05,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0084.05,06105950084.05
